Bellamy, Lou - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
01/10/26	SUNY Poly	3	32	1-3	0-1	1-2	1	0	0	1	0	2
01/13/26	St. John Fisher	0	21	0-2	0-2	0-0	0	3	0	1	0	5
01/16/26	Russell Sage	0	18	0-4	0-3	0-0	1	0	1	0	4	1
01/17/26	Hartwick	1	23	0-3	0-3	1-2	0	3	0	1	1	1
01/23/26	Brockport	0	11	0-3	0-3	0-0	1	1	0	0	0	2
01/24/26	Geneseo	0	3	0-0	0-0	0-0	0	0	0	0	0	0
01/27/26	Alfred	6	21	2-4	2-3	0-0	1	1	0	0	0	3
01/31/26	Elmira	3	11	1-3	1-2	0-1	1	1	0	1	0	2
02/06/26	SUNY Poly	0	4	0-0	0-0	0-0	0	0	0	0	0	0

-----
Oates, DJ - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/07/25	Pitt.-Bradford	0	0	0-0	0-0	0-0	0	0	0	0	0	0
11/08/25	CWRU	1	1	0-0	0-0	1-2	1	1	0	0	0	1
11/22/25	Buffalo State	0	2	0-0	0-0	0-0	0	0	0	0	0	0
11/25/25	SUNY Morrisville	0	16	0-3	0-2	0-0	1	0	0	0	0	4
12/12/25	Fredonia	2	3	1-3	0-0	0-0	1	0	0	0	1	0
01/03/26	Bethany (WV)	3	9	1-3	1-2	0-0	2	1	0	0	2	3
01/06/26	Nazareth	0	2	0-1	0-1	0-0	0	0	0	0	0	0
01/10/26	SUNY Poly	0	5	0-2	0-0	0-2	2	0	0	0	0	0
01/13/26	St. John Fisher	0	6	0-0	0-0	0-0	0	0	0	0	0	0
01/23/26	Brockport	0	1	0-0	0-0	0-0	0	0	0	0	0	0
01/24/26	Geneseo	0	1	0-0	0-0	0-0	0	0	0	0	0	1
01/31/26	Elmira	5	3	2-3	0-1	1-1	0	1	0	0	0	1
02/06/26	SUNY Poly	0	3	0-1	0-0	0-0	1	0	0	0	0	0

-----
Rosario, Jonathan - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/08/25	CWRU	3	1	1-1	1-1	0-0	0	0	0	0	0	0
12/09/25	Grove City	0	1	0-0	0-0	0-0	0	0	0	0	0	0
12/12/25	Fredonia	3	3	1-2	1-2	0-0	0	0	0	0	0	0
01/03/26	Bethany (WV)	0	1	0-1	0-1	0-0	0	0	0	0	0	0
01/06/26	Nazareth	0	1	0-0	0-0	0-0	0	0	0	0	0	0
01/10/26	SUNY Poly	0	2	0-0	0-0	0-0	0	0	0	0	0	0
01/16/26	Russell Sage	0	4	0-2	0-1	0-0	0	0	0	0	1	0
01/31/26	Elmira	0	2	0-1	0-1	0-0	0	0	0	0	0	0
02/06/26	SUNY Poly	0	1	0-0	0-0	0-0	0	0	0	0	0	0

-----
Milutinovic, Filip - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/08/25	CWRU	0	1	0-0	0-0	0-0	1	0	0	0	0	0
12/12/25	Fredonia	0	1	0-0	0-0	0-0	0	0	0	0	0	1
01/03/26	Bethany (WV)	0	1	0-0	0-0	0-0	0	0	0	0	0	0
01/10/26	SUNY Poly	0	2	0-0	0-0	0-0	0	0	0	0	0	0
01/31/26	Elmira	2	2	1-1	0-0	0-0	0	0	0	1	0	0

-----
Randall, Destin - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/08/25	CWRU	0	1	0-0	0-0	0-0	0	1	0	0	0	0
12/09/25	Grove City	0	0	0-0	0-0	0-0	0	0	0	0	0	0
12/12/25	Fredonia	0	1	0-0	0-0	0-0	0	0	0	0	0	0
01/03/26	Bethany (WV)	0	1	0-0	0-0	0-0	0	0	0	0	0	0
01/10/26	SUNY Poly	0	2	0-0	0-0	0-0	0	0	0	0	0	0
02/06/26	SUNY Poly	0	2	0-1	0-0	0-0	0	0	0	0	0	0
